OverallQual,GrLivArea,MSZoning_RL,BsmtFinType2,MSZoning_RM,GarageCars,LotFrontage,MiscFeature_NA,YearBuilt,Condition1_Artery,ExterCond,LandSlope_Sev,Condition1_PosN,2ndFlrSF,Fence_GdWo,GarageType_2Types,Foundation_PConc,MSZoning_FV,TotRmsAbvGrd,Condition2_Norm,BsmtFinSF1,Condition2_PosA,LotConfig_FR3,Foundation_BrkTil,CentralAir_N,OpenPorchSF,Electrical_FuseA,Electrical_SBrkr,Neighborhood_Gilbert,Condition1_RRNn
5,896,0,2,0,1.0,80.0,1,1961,0,3,0,0,0,0,0,0,0,5,1,468.0,0,0,0,0,0,0,1,0,0
6,1329,1,1,0,1.0,81.0,0,1958,0,3,0,0,0,0,0,0,0,6,1,923.0,0,0,0,0,36,0,1,0,0
5,1629,1,1,0,2.0,74.0,1,1997,0,3,0,0,701,0,0,1,0,6,1,791.0,0,0,0,0,34,0,1,1,0
6,1604,1,1,0,2.0,78.0,1,1998,0,3,0,0,678,0,0,1,0,7,1,602.0,0,0,0,0,36,0,1,1,0
8,1280,1,1,0,2.0,43.0,1,1992,0,3,0,0,0,0,0,1,0,5,1,263.0,0,0,0,0,82,0,1,0,0
6,1655,1,1,0,2.0,75.0,1,1993,0,3,0,0,892,0,0,1,0,7,1,0.0,0,0,0,0,84,0,1,1,0
6,1187,1,1,0,2.0,0.0,0,1992,0,4,0,0,0,0,0,1,0,6,1,935.0,0,0,0,0,21,0,1,1,0
6,1465,1,1,0,2.0,63.0,1,1998,0,3,0,0,676,0,0,1,0,7,1,0.0,0,0,0,0,75,0,1,1,0
7,1341,1,1,0,2.0,85.0,1,1990,0,3,0,0,0,0,0,1,0,5,1,637.0,0,0,0,0,0,0,1,1,0
4,882,1,3,0,2.0,70.0,1,1970,0,3,0,0,0,0,0,0,0,4,1,804.0,0,0,0,0,0,0,1,0,0
7,1337,0,4,0,2.0,26.0,1,1999,0,3,0,0,0,0,0,1,0,5,1,1051.0,0,0,0,0,68,0,1,0,0
6,987,0,1,1,1.0,21.0,1,1971,0,3,0,0,504,0,0,0,0,5,1,156.0,0,0,0,0,0,0,1,0,0
5,1092,0,1,1,1.0,21.0,1,1971,0,3,0,0,567,0,0,0,0,6,1,300.0,0,0,0,0,0,0,1,0,0
6,1456,1,1,0,2.0,24.0,1,1975,0,3,0,0,601,0,0,0,0,6,1,514.0,0,0,0,0,0,0,1,0,0
7,836,1,1,0,1.0,24.0,1,1975,0,3,0,0,0,0,0,0,0,4,1,0.0,0,0,0,0,30,0,1,0,0
9,2334,1,1,0,3.0,102.0,1,2009,0,3,0,0,707,0,0,1,0,10,1,0.0,0,0,0,0,133,0,1,0,0
8,1544,1,1,0,3.0,94.0,1,2009,0,3,0,0,0,0,0,1,0,7,1,0.0,0,0,0,0,35,0,1,0,0
9,1698,1,1,0,3.0,90.0,1,2005,0,3,0,1,0,0,0,1,0,7,1,110.0,0,0,0,0,74,0,1,0,0
8,1822,1,1,0,3.0,79.0,1,2005,0,3,0,0,0,0,0,1,0,8,1,28.0,0,0,0,0,119,0,1,0,0
9,2696,1,1,0,3.0,110.0,1,2003,0,3,0,0,0,0,0,1,0,10,1,1373.0,0,0,0,0,150,0,1,0,0
8,2250,1,1,0,3.0,105.0,1,2002,0,3,0,0,563,0,0,1,0,7,1,578.0,0,0,0,0,130,0,1,0,0
8,1370,1,1,0,2.0,41.0,1,2006,0,3,0,0,0,0,0,1,0,6,1,24.0,0,0,0,0,49,0,1,0,0
6,1324,1,1,0,2.0,100.0,1,2005,0,3,0,0,0,0,0,1,0,6,1,0.0,0,0,0,0,23,0,1,1,0
7,1145,1,1,0,2.0,43.0,1,2006,0,3,0,0,0,0,0,1,0,6,1,16.0,0,0,0,0,116,0,1,0,0
7,1374,1,1,0,2.0,67.0,1,2004,0,3,0,0,630,0,0,1,0,7,1,326.0,0,0,0,0,0,0,1,1,0
7,1733,1,1,0,2.0,63.0,1,2004,0,3,0,0,886,0,0,1,0,7,1,0.0,0,0,0,0,48,0,1,1,0
8,2475,1,1,0,3.0,60.0,1,1998,0,3,0,0,830,0,0,1,0,7,1,0.0,0,0,0,0,172,0,1,0,0
8,1595,1,1,0,3.0,73.0,1,2005,0,3,0,0,0,0,0,1,0,6,1,0.0,0,0,0,0,0,0,1,0,0
7,1218,0,1,0,2.0,92.0,1,2009,0,3,0,0,0,0,0,1,1,4,1,0.0,0,0,0,0,136,0,1,0,0
6,1468,0,1,0,2.0,84.0,1,2005,0,3,0,0,0,0,0,1,1,6,1,1414.0,0,0,0,0,102,0,1,0,0
7,1659,1,1,0,2.0,70.0,1,2004,0,3,0,0,828,0,0,1,0,8,1,0.0,0,0,0,0,68,0,1,0,0
5,1012,0,1,0,1.0,70.0,1,1920,0,2,0,0,0,0,0,0,0,5,1,0.0,0,0,1,1,0,1,0,0,0
6,1494,1,6,0,2.0,39.0,1,1974,0,4,0,0,0,0,0,0,0,7,1,126.0,0,0,0,0,0,0,1,0,0
8,2349,1,6,0,3.0,85.0,1,1993,0,3,0,0,1098,0,0,1,0,9,1,250.0,0,0,0,0,130,0,1,0,0
8,2225,1,1,0,3.0,88.0,1,1992,0,3,0,0,823,0,0,1,0,7,1,1129.0,0,0,0,0,30,0,1,0,0
7,1488,0,1,0,2.0,25.0,1,2004,0,3,0,0,0,0,0,1,1,6,1,1298.0,0,0,0,0,50,0,1,0,0
7,1680,0,1,0,2.0,39.0,1,2004,0,3,0,0,840,0,0,1,1,3,1,0.0,0,0,0,0,111,0,1,0,0
7,1200,0,1,0,2.0,30.0,1,2004,0,3,0,0,600,0,0,1,1,4,1,280.0,0,0,0,0,172,0,1,0,0
7,1200,0,5,0,2.0,24.0,1,2004,0,3,0,0,600,0,0,1,1,4,1,368.0,0,0,0,0,172,0,1,0,0
6,1236,0,1,0,2.0,24.0,1,2005,0,3,0,0,636,0,0,1,1,4,1,376.0,0,0,0,0,166,0,1,0,0
6,1512,0,1,0,2.0,0.0,1,2000,0,3,0,0,756,0,0,1,1,5,1,466.0,0,0,0,0,32,0,1,0,0
7,1080,0,1,0,2.0,0.0,1,2003,0,3,0,0,550,0,0,1,1,4,1,244.0,0,0,0,0,50,0,1,0,0
8,1418,0,1,0,3.0,57.0,1,2010,0,3,0,0,0,0,0,1,1,6,1,1032.0,0,0,0,0,192,0,1,0,0
